Degrees   Distance (cm)
0         2.4
2         0.7
4         0.4
6         2.0
8         2.0
10        2.0
12        2.0
14        2.0
16        2.0
18        2.0
20        0.4
22        0.4
24        0.4
26        0.4
28        0.4
30        0.4
32        0.4
34        0.4
36        0.4
38        0.4
40        0.4
42        0.4
44        0.4
46        0.4
48        0.4
50        0.4
52        0.4
54        0.4
56        0.4
58        0.4
60        0.4
62        0.4
64        0.4
66        0.4
68        0.4
70        0.4
72        0.4
74        0.4
76        0.4
78        2.4
80        2.4
82        2.4
84        2.4
86        2.4
88        2.4
90        2.4
92        2.4
94        2.4
96        2.4
98        2.4
100       2.4
102       2.4
104       2.4
106       0.7
108       0.7
110       0.7
112       0.7
114       0.7
116       0.7
118       0.7
120       0.7
122       0.7
124       0.7
126       0.7
128       0.7
130       0.7
132       0.7
134       0.7
136       0.7
138       0.7
140       0.7
142       0.7
144       0.7
146       2.4
148       2.4
150       2.4
152       2.4
154       2.4
156       1.8
158       1.8
160       1.8
162       1.8
164       1.8
166       2.0
168       2.0
170       1.8
172       1.8
174       1.8
176       1.8
178       1.8
180       1.8
