=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.09.22 13:40:17 =~=~=~=~=~=~=~=~=~=~=~=
Degrees   Distance (cm)
0         18.9
2         28.0
4         60.8
6         70.1
8         68.8
10        75.1
12        133.6
14        68.2
16        68.2
18        69.0
20        68.6
22        68.6
24        68.5
26        68.6
28        68.2
30        68.2
32        67.8
34        58.4
36        59.3
38        59.3
40        58.4
42        58.4
44        58.4
46        58.8
48        59.7
50        60.0
52        66.8
54        68.6
56        68.2
58        67.3
60        66.5
62        10.8
64        9.3
66        8.1
68        7.6
70        7.7
72        7.2
74        7.1
76        7.1
78        6.7
80        6.6
82        6.9
84        7.3
86        6.3
88        6.3
90        7.1
92        10.6
94        8.3
96        6.8
98        6.4
100       7.3
102       7.7
104       6.8
106       6.4
108       6.5
110       6.0
112       6.5
114       6.6
116       6.6
118       6.9
120       6.6
122       6.6
124       6.8
126       6.9
128       7.0
130       7.6
132       7.7
134       7.8
136       8.2
138       54.5
140       9.2
142       8.7
144       9.1
146       9.9
148       49.5
150       44.3
152       43.8
154       19.3
156       18.5
158       17.9
160       17.8
162       17.8
164       17.4
166       17.3
168       17.3
170       17.3
172       17.3
174       17.3
176       17.3
178       17.3
180       17.3
