Degrees   Distance (cm)
0         2.4
2         2.4
4         2.4
6         2.4
8         2.4
10        2.4
12        2.4
14        2.4
16        2.4
18        2.4
20        2.4
22        2.4
24        2.4
26        2.4
28        2.4
30        0.6
32        0.6
34        0.6
36        0.6
38        0.6
40        0.6
42        0.6
44        0.6
46        0.6
48        0.6
50        0.6
52        0.6
54        0.6
56        0.6
58        0.6
60        0.6
62        0.6
64        0.6
66        0.6
68        0.6
70        0.6
72        0.6
74        0.6
76        0.6
78        0.6
80        0.6
82        0.6
84        0.6
86        0.6
88        0.6
90        0.6
92        2.4
94        2.4
96        2.4
98        2.4
100       2.4
102       2.4
104       2.4
106       2.4
108       2.4
110       0.6
112       0.6
114       0.6
116       0.6
118       0.6
120       0.6
122       0.6
124       0.6
126       0.6
128       0.6
130       0.6
132       0.6
134       0.6
136       0.6
138       2.4
140       2.4
142       2.4
144       2.4
146       2.4
148       2.4
150       2.4
152       2.4
154       2.4
156       2.4
158       2.4
160       2.4
162       2.4
164       2.4
166       2.4
168       2.4
170       2.4
172       2.4
174       2.4
176       2.4
178       2.4
180       2.4

