=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.09.22 09:48:52 =~=~=~=~=~=~=~=~=~=~=~=
Degrees   Distance (cm)
0         39.9
2         40.8
4         60.3
6         205.1
8         204.7
10        204.1
12        204.0
14        204.0
16        203.6
18        203.9
20        203.4
22        204.0
24        204.0
26        203.4
28        204.2
30        205.1
32        62.4
34        61.9
36        61.4
38        61.4
40        60.9
42        60.9
44        60.4
46        60.4
48        60.3
50        60.3
52        60.3
54        60.3
56        60.3
58        60.3
60        60.3
62        60.3
64        60.4
66        60.4
68        60.4
70        60.5
72        61.0
74        61.0
76        61.4
78        61.5
80        61.6
82        62.1
84        63.0
86        313.5
88        313.5
90        303.9
92        313.5
94        303.8
96        303.8
98        302.9
100       303.4
102       301.2
104       302.2
106       40.4
108       39.9
110       39.4
112       39.3
114       39.3
116       38.8
118       38.8
120       38.7
122       38.3
124       38.2
126       38.3
128       38.2
130       38.2
132       38.2
134       38.2
136       38.3
138       38.3
140       38.3
142       38.3
144       38.8
146       38.8
148       38.9
150       39.4
152       39.4
154       39.5
156       40.2
158       40.5
160       41.4
162       179.9
164       179.8
166       179.9
168       179.8
170       179.7
172       179.7
174       179.3
176       179.3
178       179.1
180       179.2
