Degrees   Distance (m)
0         0.4
2         0.4
4         0.6
6         2.1
8         2.0
10        2.0
12        2.0
14        2.0
16        2.0
18        2.0
20        2.0
22        2.0
24        2.0
26        2.0
28        2.0
30        2.1
32        0.6
34        0.6
36        0.6
38        0.6
40        0.6
42        0.6
44        0.6
46        0.6
48        0.6
50        0.6
52        0.6
54        0.6
56        0.6
58        0.6
60        0.6
62        0.6
64        0.6
66        0.6
68        0.6
70        0.6
72        0.6
74        0.6
76        0.6
78        0.6
80        0.6
82        0.6
84        0.6
86        2.4
88        2.4
90        2.4
92        2.4
94        2.4
96        2.4
98        2.4
100       2.4
102       2.4
104       2.4
106       0.4
108       0.4
110       0.4
112       0.4
114       0.4
116       0.4
118       0.4
120       0.4
122       0.4
124       0.4
126       0.4
128       0.4
130       0.4
132       0.4
134       0.4
136       0.4
138       0.4
140       0.4
142       0.4
144       0.4
146       0.4
148       0.4
150       0.4
152       0.4
154       0.4
156       0.4
158       0.4
160       0.4
162       1.8
164       1.8
166       1.8
168       1.8
170       1.8
172       1.8
174       1.8
176       1.8
178       1.8
180       1.8
