Degrees   Distance (cm)
0         0.4
2         0.4
4         0.4
6         1.7
8         1.7
10        1.7
12        1.7
14        1.7
16        1.7
18        1.7
20        1.7
22        1.7
24        1.7
26        1.7
28        1.7
30        0.4
32        0.4
34        0.4
36        0.4
38        0.4
40        0.4
42        0.4
44        0.4
46        0.4
48        0.4
50        0.4
52        0.4
54        0.4
56        0.4
58        0.4
60        0.4
62        0.4
64        0.4
66        0.4
68        0.4
70        0.4
72        0.4
74        0.4
76        0.4
78        0.4
80        0.4
82        0.4
84        0.4
86        0.4
88        2.4
90        2.4
92        2.4
94        2.4
96        2.4
98        2.4
100       2.4
102       2.4
104       2.4
106       0.4
108       0.4
110       0.4
112       0.4
114       0.4
116       0.4
118       0.4
120       0.4
122       0.4
124       0.4
126       0.4
128       0.4
130       0.4
132       0.4
134       0.4
136       0.4
138       0.4
140       0.4
142       0.4
144       0.4
146       0.4
148       0.4
150       0.4
152       0.4
154       0.4
156       0.4
158       0.4
160       0.4
162       1.8
164       1.8
166       1.8
168       1.8
170       1.8
172       1.8
174       1.8
176       1.8
178       1.8
180       1.8
