Degrees   Distance (cm)
0         0.7
2         0.7
4         2.4
6         2.3
8         2.3
10        2.3
12        2.3
14        2.4
16        2.4
18        2.4
20        2.4
22        2.4
24        2.4
26        2.4
28        2.4
30        2.4
32        2.4
34        2.4
36        2.4
38        2.4
40        2.4
42        2.4
44        2.4
46        2.4
48        2.4
50        2.4
52        2.4
54        2.4
56        2.4
58        2.4
60        2.4
62        2.4
64        0.7
66        0.7
68        0.7
70        0.7
72        0.7
74        0.7
76        0.7
78        0.7
80        0.7
82        0.7
84        0.7
86        0.7
88        0.7
90        0.7
92        0.7
94        0.7
96        0.7
98        0.7
100       0.7
102       0.7
104       0.7
106       0.7
108       0.7
110       0.7
112       0.7
114       0.7
116       0.7
118       2.4
120       2.4
122       2.4
124       2.4
126       0.7
128       0.7
130       0.7
132       0.7
134       0.7
136       0.7
138       0.7
140       0.7
142       0.7
144       0.7
146       0.7
148       0.7
150       0.7
152       0.7
154       0.7
156       0.7
158       0.7
160       0.7
162       0.7
164       0.7
166       0.7
168       0.7
170       0.7
172       0.7
174       2.4
176       2.4
178       2.4
180       2.4
